,CarName,Owner,YearofPurchase,Transmission,Model,Distance,Fuel,Price,website,Product_url
550,Toyota Yaris (2018),1st,2017,MANUAL,J,16278.0 KM,PETROL,"₹ 7,90,000",olx.in,https://www.olx.in/item/toyota-yaris-j-2018-petrol-iid-1653212025
551,Audi A4 (2012),2nd,2015,MANUAL,2014-2016 2.0 TDI Premium Sport Limited Edition,70000.0 KM,DIESEL,"₹ 9,95,000",olx.in,https://www.olx.in/item/audi-a4-2014-2016-20-tdi-premium-sport-limited-edition-2012-diese-iid-1641108557
552,Maruti Suzuki Swift Dzire (2013),1st,2017,MANUAL,VDI,97000.0 KM,DIESEL,"₹ 4,85,000",olx.in,https://www.olx.in/item/maruti-suzuki-swift-dzire-vdi-2013-diesel-iid-1654295166
553,Renault Duster (2018),1st,2018,MANUAL,110PS Diesel RxS AMT,6500.0 KM,PETROL,"₹ 8,75,000",olx.in,https://www.olx.in/item/renault-duster-110ps-diesel-rxs-amt-2018-petrol-iid-1649602649
554,,,2013,MANUAL,,,,,olx.in,https://www.olx.in/item/hyundai-xcent-12-crdi-sx-2014-diesel-iid-1655873997
555,Hyundai Xcent (2014),1st,2009,MANUAL,1.2 CRDi SX,67000.0 KM,DIESEL,"₹ 3,95,000",olx.in,https://www.olx.in/item/hyundai-xcent-12-crdi-sx-2014-diesel-iid-1655873569
556,Hyundai Eon (2013),2nd,2009,MANUAL,D Lite Plus,68000.0 KM,PETROL,"₹ 2,25,000",olx.in,https://www.olx.in/item/hyundai-eon-d-lite-plus-2013-petrol-iid-1653524912
557,Honda Jazz (2019),--,2011,MANUAL,,14500.0 KM,PETROL,"₹ 8,25,000",olx.in,https://www.olx.in/item/honda-jazz-2019-petrol-iid-1652734133
558,Tata Indica Vista (2011),--,2012,MANUAL,,111200.0 KM,DIESEL,"₹ 1,50,000",olx.in,https://www.olx.in/item/tata-indica-vista-2011-diesel-iid-1652733267
559,Chevrolet Spark (2012),--,2018,MANUAL,,12805.0 KM,PETROL,"₹ 1,90,000",olx.in,https://www.olx.in/item/chevrolet-spark-2012-petrol-iid-1655187030
560,Maruti Suzuki Vitara Brezza (2018),--,2011,MANUAL,,62207.0 KM,DIESEL,"₹ 10,65,000",olx.in,https://www.olx.in/item/maruti-suzuki-vitara-brezza-2018-diesel-iid-1651101895
